frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
88.7,WHJM,ANNA,OH,NDIR,1.0,40.467222222222226,84.19,A,RADIO MARIA,,"RADIO MARIA, INC.",Religious Teaching,
91.5,WHKC,COLUMBUS,OH,DRL,15.0,39.93727777777777,83.02102777777777,B,FREEDOM FM,210.0,"CHRISTIAN BROADCASTING SERVICES, INC.",Religious Teaching,"Columbus, OH"
99.1,WHKO,DAYTON,OH,NDIR,50.0,39.73394444444445,84.248,B,K-99.1,325.0,"CMG Radio Operating Company, LLC",Country,Dayton
91.9,WHKU,PROCTORVILLE,OH,NDIR,4.3,38.42133333333333,82.39713888888889,A,K-LOVE,75.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Huntington-Ashland
106.5,WHLK,CLEVELAND,OH,NDIR,11.5,41.379222222222225,81.71986111111111,B,106.5 THE LAKE,316.0,iHeartMedia,Adult Hits,Cleveland
101.7,WHOF,NORTH CANTON,OH,NDIR,6.0,40.822833333333335,81.42788888888889,A,SUNNY 101.7,81.0,iHeartMedia,Classic Hits,Canton
88.1,WHRQ,SANDUSKY,OH,NDIR,0.38,41.37722222222222,82.81444444444445,A,ANNUNCIATION RADIO,102.4,Ave Maria Communications,Religious Teaching,
101.1,WHOT-FM,YOUNGSTOWN,OH,NDIR,24.5,41.05727777777778,80.63925,B,HOT101,215.0,Cumulus Media,Contemporary Hit Radio,Youngstown-Warren
89.5,WHSS,HAMILTON,OH,DRL,3.0,39.42819444444444,84.62922222222221,A,,90.0,"Spryex Communications, Inc.",Classic Rock,Cincinnati
106.3,WHTD,LONDON,OH,DRL,6.0,39.88422222222222,83.42519444444444,A,POWER 107.5 & 106.3,99.0,"BLUE CHIP BROADCASTING LICENSES, LTD",Urban Contemporary,"Columbus, OH"
90.5,WHVT,CLYDE,OH,NDIR,2.7,41.29586111111111,82.97377777777778,A,CLEAN AIR CHRISTIAN RADIO NETWORK,47.0,CLYDE EDUCATIONAL BROADCASTING FOUNDATION,Religious Teaching,
89.5,WHVY,COSHOCTON,OH,DRL,1.75,40.30477777777777,81.73427777777778,A,CLEAN AIR CHRISTIAN RADIO NETWORK,85.0,CLYDE EDUCATIONAL BROADCASTING FOUNDATION,Religious Teaching,
88.3,WHWN,PAINESVILLE,OH,NDIR,0.7,41.70477777777778,81.24261111111112,A,LA NUEVA MIA,44.0,"LA CADENA MUNDIAL HISPANA, INC.",Regional Mexican,Cleveland
89.5,WILB-FM,BOARDMAN,OH,NDIR,0.15,41.08005555555556,80.64008333333334,A,LIVING BREAD RADIO,47.9,"LIVING BREAD RADIO, INC.",Religious Teaching,Youngstown-Warren
97.7,WILE-FM,BYESVILLE,OH,NDIR,1.5,40.03952777777778,81.6465,A,AMERICA'S BEST MUSIC FM 97.7,142.0,"AVC COMMUNICATIONS, INC.",Adult Standards,
102.1,WIMT,LIMA,OH,NDIR,11.0,40.63422222222222,84.208,B,T-102,323.0,iHeartMedia,Country,Lima-Van Wert
95.7,WIMX,GIBSONBURG,OH,DRL,3.5,41.47197222222223,83.41797222222223,A,MIX 95.7,132.0,"GCR LICENSES, LLC",Urban AC,Toledo
98.5,WINF-LP,DELAWARE,OH,NDIR,0.067,40.29922222222222,83.04575,LP100,LOCAL 98.5 WINF,37.0,DELAWARE COUNTY DEVELOPMENT COMPANY,Easy Listening,"Columbus, OH"
104.7,WIOT,TOLEDO,OH,OTS,50.0,41.67311111111111,83.42522222222223,B,TOLEDO'S ROCK,165.0,iHeartMedia,Rock,Toledo
107.1,WIRO,IRONTON,OH,DRL,3.0,38.53980555555555,82.66961111111111,A,AIR1,137.0,KW Ministries,Contemporary Christian,Huntington-Ashland
100.9,WJAW-FM,MCCONNELSVILLE,OH,NDIR,1.9,39.55536111111111,81.85069444444444,A,JAWS CLASSIC COUNTRY 100.9,179.0,"JAWCO, INC.",Country,
88.7,WJCU,UNIVERSITY HEIGHTS,OH,DRL,2.5,41.490027777777776,81.5315,A,CLEVELAND'S HOME FOR COLLEGE RADIO,104.0,John Carroll University,Adult Alternative,Cleveland
90.1,WJEE,BOLIVAR,OH,DRL,2.3,40.65783333333333,81.35205555555555,A,RISE FM,-10.0,"Soaring Eagle Promotions, Inc. dba Shine FM",Religious Teaching,Canton
93.1,WJEH-FM,RACINE,OH,NDIR,4.1,38.94897222222222,82.05041666666666,A,93.1 THE WOLF,122.0,"Vandalia Media Partners 2, LLC",Country,
104.1,WJFY-LP,NEWARK,OH,NDIR,0.1,40.003,82.45225,LP100,,-1.0,NEWARK AREA CHRISTIAN BROADCASTING,Religious Teaching,"Columbus, OH"
91.7,WJIC,ZANESVILLE,OH,DRL,4.1,39.96033333333334,82.21652777777778,A,CHRISTIAN INFORMATION RADIO,121.0,"VCY AMERICA, INC.",Religious Teaching,"Columbus, OH"
89.1,WJJE,DELAWARE,OH,NDIR,6.0,40.40061111111111,82.7785,A,AMERICAN FAMILY RADIO,,AMERICAN FAMILY ASSOCIATION,Religious Teaching,
103.9,WJKR,WORTHINGTON,OH,DRL,6.0,39.966722222222224,83.10769444444443,A,COUNTRY 103.9,99.3,"NORTH AMERICAN BROADCASTING COMPANY, INC.",Country,"Columbus, OH"
95.9,WJKW,ATHENS,OH,DRL,5.5,39.23616666666667,82.07097222222222,A,OHIO'S CHRISTIAN SUPERSTATION,104.0,"CHRISTIAN FAITH BROADCAST, INC.",Contemporary Christian/Religious Teaching,
88.9,WJTA,GLANDORF,OH,DRL,2.0,41.09338888888889,84.02494444444444,A,HOLY FAMILY RADIO,55.3,"HOLY FAMILY COMMUNICATIONS, INC.",Religious Teaching,Lima-Van Wert
107.3,WJUC,SWANTON,OH,NDIR,3.0,41.64169444444445,83.90075,A,THE JUICE,100.0,"FLEMING STREET COMMUNICATIONS, INC.",Urban AC,Toledo
96.7,WJVG-LP,COLUMBUS,OH,NDIR,0.046,40.03311111111111,82.99377777777778,LP100,,43.0,"CHRISTIAN MEDIA, INCORPORATED",Talk,"Columbus, OH"
97.3,WJZE,OAK HARBOR,OH,DRL,4.3,41.472,83.41797222222223,A,HOT 97.3,118.1,"GCR LICENSES, LLC",Urban Contemporary,Toledo
90.3,WKCD,CEDARVILLE,OH,DRL,8.7,39.7245,84.25494444444445,B,K-LOVE,291.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Dayton
98.1,WKDD,MUNROE FALLS,OH,DRL,50.0,41.20005555555556,81.52288888888889,B,98.1 KDD,138.0,iHeartMedia,Hot AC,Akron
88.5,WKEN,KENTON,OH,NDIR,1.8,40.53197222222222,83.54730555555555,A,RISE FM,91.0,"SOARING EAGLE PROMOTIONS, INC.",Contemporary Christian,Lima-Van Wert
98.3,WKET,KETTERING,OH,OTS,0.013,39.69616666666666,84.16186111111112,D,,76.0,KETTERING CITY SCHOOL DISTRICT,Adult Alternative,Dayton
96.1,WKFM,HURON,OH,NDIR,3.4,41.30144444444444,82.48766666666667,A,K-96,133.0,ELYRIA-LORAIN BROADCASTING COMPANY,Country,
107.1,WKFS,MILFORD,OH,NDIR,2.8,39.11644444444445,84.50188888888889,B1,KISS 107.1,264.0,iHeartMedia,Contemporary Hit Radio,Cincinnati
91.5,WKHR,BAINBRIDGE,OH,NDIR,0.75,41.46366666666667,81.29372222222221,A,KEEPING YOUR MEMORIES ALIVE,141.0,KENSTON LOCAL SCHOOL DISTRICT,Adult Standards,Cleveland
91.9,WKJA,BRUNSWICK,OH,DRL,24.0,40.91577777777778,81.93202777777778,B1,HEARTFELT RADIO,97.0,"CHRISTIAN HEALTHCARE MINISTRIES, INC.",Religious Teaching,
94.3,WKKI,CELINA,OH,NDIR,5.2,40.57255555555556,84.58938888888889,A,K-94,108.0,THE SONSHINE COMMUNICATIONS CORPORATION,Rock,Lima-Van Wert
94.3,WKKJ,CHILLICOTHE,OH,DRL,19.0,39.33116666666667,82.99683333333333,B1,94 COUNTRY,107.6,iHeartMedia,Country,
99.9,WKKO,TOLEDO,OH,DRL,50.0,41.66811111111111,83.453,B,K-100,152.4,Cumulus Media,Country,Toledo
104.7,WKKY,GENEVA,OH,NDIR,6.0,41.791694444444445,81.09174999999999,A,COUNTRY 104.7,100.0,MUSIC EXPRESS BROADCASTING CORP. OF NORTHEAST OHIO,Country,Cleveland
95.3,WKLM,MILLERSBURG,OH,NDIR,3.0,40.48588888888889,81.84569444444443,A,HOMETOWN RADIO,100.0,"WKLM RADIO, INC.",Adult Contemporary,
102.3,WKLN,WILMINGTON,OH,NDIR,3.0,39.36527777777778,83.76944444444445,A,K-LOVE,91.0,Educational Media Foundation,Contemporary Christian,
96.7,WKOV-FM,OAK HILL,OH,NDIR,16.0,39.02925,82.59738888888889,B1,MIX 96 FM,129.0,"Total Media Group, Inc.",Hot AC,
89.3,WKRW,WOOSTER,OH,NDIR,2.1,40.774499999999996,81.91791666666667,A,NPR & CLASSICAL MUSIC,97.0,KENT STATE UNIVERSITY,News/Talk/Classical,
91.5,WKRJ,NEW PHILADELPHIA,OH,NDIR,2.0,40.563944444444445,81.51788888888889,A,NPR & CLASSICAL MUSIC,73.0,KENT STATE UNIVERSITY,News/Talk/Classical,
92.3,WKRK-FM,CLEVELAND HEIGHTS,OH,DRL,40.0,41.442277777777775,81.49094444444445,B,92.3 THE FAN,167.0,"Audacy License, LLC",Sports,Cleveland
101.9,WKRQ,CINCINNATI,OH,NDIR,16.0,39.11644444444445,84.50188888888889,B,Q-102,264.0,Hubbard Media,Hot AC,Cincinnati
99.7,WKSD,PAULDING,OH,NDIR,3.0,41.05891666666666,84.5916111111111,A,CLASSIC HITS 99.7,100.0,"FIRST FAMILY BROADCASTING, INC.",Oldies,
89.7,WKSU,KENT,OH,NDIR,12.0,41.08283333333333,81.63372222222223,B,IDEASTREAM PUBLIC MEDIA,277.0,KENT STATE UNIVERSITY,News/Talk,Akron
89.7,WKSU-FM1,KENT,OH,DRL,1.0,41.38608333333333,81.68908333333334,D,IDEASTREAM PUBLIC MEDIA,,Kent State University,News/Talk,Cleveland
89.1,WKSV,THOMPSON,OH,DRL,50.0,41.69283333333333,81.04730555555555,B,NPR & CLASSICAL MUSIC,144.0,KENT STATE UNIVERSITY,News/Talk/Classical,Cleveland
